query_id,query,category,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,ndcg_at_k,hit
Q023,O que é prestação de tarefa por tempo certo no Comando da Aeronáutica?,retrieval,ICA-35-13:relevant,ICA-96-1-art546:0.648;ICA-100-31-art158:0.641;ICA-100-37-art827:0.634;ICA-100-37-art817:0.615;ICA-96-1-art15:0.615,,,N/A,0.0000,0.0000,0.0000,False
Q024,Como funciona a gestão de cópias de segurança de sistemas no SISCEAB?,retrieval,ICA-07-29:relevant,ICA-63-12-art1:0.512;ICA-800-3-art2:0.501;ICA-800-5-art2:0.501;ICA-53-8-art66:0.500;ICA-63-47-art162:0.499,,,N/A,0.0000,0.0000,0.0000,False
Q025,Quais são as regras sobre gestão de mudanças em sistemas do SISCEAB?,retrieval,ICA-07-24-art1:relevant,ICA-800-5-art2:0.549;ICA-800-3-art2:0.549;ICA-100-24-art15:0.545;ICA-105-17-art1:0.542;ICA-121-3-art1:0.541,,,N/A,0.0000,0.0000,0.0000,False
Q026,Como funciona o uso especial do espaço aéreo?,retrieval,ICA-100-36:relevant,ICA-121-3-art14:0.610;ICA-105-2-art6:0.594;ICA-100-23-art18:0.589;ICA-100-37-art630:0.582;ICA-100-37-art817:0.577,,,N/A,0.0000,0.0000,0.0000,False
Q027,Quais são as regras para operações VFR e IFR?,retrieval,ICA-100-1-art1:relevant,ICA-100-12-art120:0.549;ICA-100-12-art51:0.519;ICA-100-37-art641:0.505;ICA-100-36-art32:0.503;ICA-100-37-art490:0.488,,,N/A,0.0000,0.0000,0.0000,False
Q028,Como funciona o gerenciamento de fluxo de tráfego aéreo?,retrieval,ICA-100-22-art1:relevant,ICA-102-16-art72:0.608;ICA-100-37-art558:0.577;ICA-100-37-art74:0.569;ICA-100-31-art158:0.567;ICA-100-37-art856:0.558,,,N/A,0.0000,0.0000,0.0000,False
Q029,Quais são os procedimentos de navegação aérea?,retrieval,ICA-100-23-art1:relevant,ICA-100-24-art1:0.610;ICA-100-24-art18:0.609;ICA-100-23-art11:0.584;ICA-100-23-art18:0.562;ICA-121-3-art81:0.555,,,N/A,0.0000,0.0000,0.0000,False
Q030,Como funciona o serviço meteorológico para navegação aérea?,retrieval,ICA-100-37-art1:relevant,ICA-105-2-art6:0.653;ICA-105-2-art48:0.573;ICA-100-37-art856:0.561;ICA-121-3-art81:0.557;ICA-100-37-art744:0.549,,,N/A,0.0000,0.0000,0.0000,False
Q031,Quais são as regras para aeronaves não tripuladas (drones)?,retrieval,ICA-100-40-art1:relevant,ICA-100-37-art284:0.533;ICA-100-37-art1074:0.518;ICA-100-12-art29:0.509;ICA-100-37-art238:0.508;ICA-100-37-art333:0.508,,,N/A,0.0000,0.0000,0.0000,False
Q032,Como funciona o sistema de telecomunicações aeronáuticas?,retrieval,ICA-102-3:relevant,ICA-102-16-art6:0.615;ICA-100-37-art782:0.597;ICA-102-16-art72:0.585;ICA-100-37-art882:0.580;ICA-102-16-art66:0.572,,,N/A,0.0000,0.0000,0.0000,False
Q033,Quais são os requisitos para operador de telecomunicações?,retrieval,ICA-102-7-art1:relevant,ICA-102-16-art6:0.475;ICA-102-16-art79:0.452;ICA-100-31-art161:0.451;ICA-102-16-art70:0.449;ICA-102-16-art89:0.449,,,N/A,0.0000,0.0000,0.0000,False
Q034,Como funciona a classificação de dados meteorológicos?,retrieval,ICA-105-2-art1:relevant,ICA-105-17-art100:0.600;ICA-105-17-art245:0.598;ICA-105-15-art131:0.578;ICA-105-15-art78:0.543;ICA-100-31-art99:0.542,,,N/A,0.0000,0.0000,0.0000,False
Q035,Quais são as regras de gestão de risco no SISCEAB?,retrieval,ICA-16-6-art1:relevant,ICA-121-3-art1:0.569;ICA-800-3-art2:0.512;ICA-800-5-art2:0.512;ICA-63-45-art2:0.489;ICA-66-23-art9:0.484,,,N/A,0.0000,0.0000,0.0000,False
Q036,Como funciona o sistema de informação NOTAM?,retrieval,ICA-53-1-art1:relevant,ICA-100-37-art1086:0.514;ICA-63-51-art13:0.511;ICA-102-16-art79:0.505;ICA-96-1-art100:0.502;ICA-105-17-art203:0.501,,,N/A,0.0000,0.0000,0.0000,False
Q037,Quais são as regras sobre informação aeronáutica digital?,retrieval,ICA-53-7-art1:relevant,ICA-100-31-art151:0.571;ICA-100-31-art159:0.555;ICA-100-37-art182:0.546;ICA-100-31-art98:0.540;ICA-53-8-art5:0.534,,,N/A,0.0000,0.0000,0.0000,False
Q038,Como funciona a prevenção de incursão em pista?,retrieval,ICA-81-4:relevant,ICA-100-37-art1015:0.648;ICA-100-37-art277:0.637;ICA-100-37-art1026:0.601;ICA-100-37-art539:0.595;ICA-100-37-art283:0.591,,,N/A,0.0000,0.0000,0.0000,False
Q039,Quais são as regras sobre proteção contra incêndio?,retrieval,ICA-92-19:relevant,ICA-100-31-art151:0.449;ICA-100-37-art512:0.439;ICA-17-1-art184:0.428;ICA-17-1-art165:0.424;ICA-53-8-art81:0.406,,,N/A,0.0000,0.0000,0.0000,False
Q040,Como funcionam as inspeções de segurança operacional?,retrieval,ICA-121-13:relevant,ICA-100-37-art903:0.586;ICA-121-3-art12:0.550;ICA-800-5-art48:0.537;ICA-100-24-art27:0.525;ICA-121-3-art15:0.521,,,N/A,0.0000,0.0000,0.0000,False
Q041,O que são estações EPTA e como funcionam?,retrieval,ICA-63-10-art1:relevant,ICA-63-46-art77:0.504;ICA-105-15-art7:0.473;ICA-53-4-art42:0.459;ICA-17-1-art75:0.439;ICA-17-1-art70:0.438,,,N/A,0.0000,0.0000,0.0000,False
Q042,Quais são os requisitos de saúde e certificado médico para controladores?,retrieval,ICA-63-15-art1:relevant,ICA-64-7-art1:0.486;ICA-63-47-art204:0.469;ICA-100-37-art904:0.469;ICA-100-37-art1056:0.468;ICA-100-24-art27:0.462,,,N/A,0.0000,0.0000,0.0000,False
Q043,Como funciona a prevenção ao uso de substâncias psicoativas no controle de tráfego?,retrieval,ICA-63-50-art1:relevant,ICA-100-37-art1110:0.480;ICA-100-37-art9:0.446;ICA-100-37-art735:0.434;ICA-100-37-art277:0.427;ICA-17-1-art188:0.425,,,N/A,0.0000,0.0000,0.0000,False
Q044,Como funciona o sistema de gestão da qualidade no SISCEAB?,retrieval,ICA-800-3:relevant;ICA-800-5:moderate,ICA-105-15-art124:0.544;ICA-53-8-art83:0.534;ICA-105-17-art34:0.523;ICA-800-8-art2-7:0.523;ICA-63-51-art13:0.517,,,N/A,0.0000,0.0000,0.0000,False
Q045,Quais são as regras para visitas técnicas de segurança operacional?,retrieval,ICA-121-7-art1:relevant,ICA-100-24-art27:0.660;ICA-100-24-art1:0.657;ICA-100-24-art21:0.635;ICA-100-24-art7:0.582;ICA-121-3-art1:0.580,,,N/A,0.0000,0.0000,0.0000,False
Q046,Qual a escala recomendada para carta de aproximação por instrumentos?,retrieval,ICA-96-1-art174:relevant,ICA-100-37-art1012:0.629;ICA-100-37-art1022:0.620;ICA-100-23-art45:0.571;ICA-96-1-art437:0.568;ICA-96-1-art377:0.554,,,N/A,0.0000,0.0000,0.0000,False
Q047,Quais obstáculos devem ser representados na carta de aeródromo?,retrieval,ICA-96-1-art347:relevant,ICA-96-1-art304:0.686;ICA-96-1-art96:0.673;ICA-96-1-art249:0.656;ICA-53-8-art172:0.640;ICA-96-1-art307:0.640,,,N/A,0.0000,0.0000,0.0000,False
Q048,Quais são os tipos de cartas aeronáuticas previstos na ICA 96-1?,retrieval,ICA-96-1-art10:relevant,ICA-53-8-art129:0.666;ICA-102-16-art25:0.565;ICA-105-15-art96:0.550;ICA-96-1-art96:0.546;ICA-96-1-art88:0.545,,,N/A,0.0000,0.0000,0.0000,False
Q049,Como deve ser a representação do relevo nas cartas?,retrieval,ICA-96-1-art30:relevant,ICA-96-1-art178:0.596;ICA-96-1-art296:0.560;ICA-96-1-art469:0.544;ICA-96-1-art255:0.537;ICA-96-1-art76:0.529,,,N/A,0.0000,0.0000,0.0000,False
Q050,Quais informações devem constar na carta de área terminal?,retrieval,ICA-96-1-art157:relevant,ICA-96-1-art264:0.621;ICA-96-1-art480:0.601;ICA-102-16-art407:0.595;ICA-105-17-art275:0.591;ICA-96-1-art122:0.587,,,N/A,0.0000,0.0000,0.0000,False
Q051,O que é RBAC 91?,coverage,,ICA-63-46-art92:0.499;ICA-105-15-art116:0.486;ICA-100-37-art1150:0.481;ICA-102-16-art79:0.480;ICA-64-7-art97:0.404,,,N/A,0.0000,0.0000,0.0000,False
Q052,Quais são os requisitos de manutenção de aeronaves da ANAC?,coverage,,ICA-63-46-art38:0.647;ICA-63-46-art37:0.633;ICA-96-1-art590:0.556;ICA-100-37-art645:0.535;ICA-102-16-art87:0.534,,,N/A,0.0000,0.0000,0.0000,False
Q053,O que diz a lei 7565 sobre o Código Brasileiro de Aeronáutica?,coverage,,ICA-96-1-art70:0.565;ICA-63-46-art71:0.554;ICA-100-31-art7:0.537;ICA-102-16-art71:0.532;ICA-100-37-art77:0.530,,,N/A,0.0000,0.0000,0.0000,False
Q054,Quais são as regras da ANAC para licença de piloto comercial?,coverage,,ICA-100-12-art49:0.608;ICA-63-46-art38:0.607;ICA-12-35-art13:0.606;ICA-96-1-art571:0.581;ICA-96-1-art584:0.571,,,N/A,0.0000,0.0000,0.0000,False
Q055,Qual a resolução ANAC sobre transporte aéreo de passageiros?,coverage,,ICA-63-46-art38:0.623;ICA-96-1-art609:0.556;ICA-100-37-art857:0.539;ICA-100-37-art558:0.539;ICA-100-37-art89:0.531,,,N/A,0.0000,0.0000,0.0000,False
Q056,Como funciona o programa de pesquisa do DECEA?,retrieval,ICA-351-5:relevant,ICA-102-16-art13:0.642;ICA-63-47-art7:0.593;ICA-105-2-art32:0.581;ICA-63-51-art13:0.562;ICA-800-5-art15:0.545,,,N/A,0.0000,0.0000,0.0000,False
Q057,Quais são os requisitos para proficiência em inglês aeronáutico (EPLIS)?,retrieval,ICA-37-924:relevant;ICA-37-937:moderate,ICA-100-47-art6:0.695;ICA-37-924-art3-16:0.650;ICA-37-924-art3-1:0.621;ICA-100-23-art6:0.610;ICA-37-924-art3-3:0.607,ICA-37-924-art3-16,,2,0.2000,0.5000,0.4796,True
Q058,Como funciona a doutrina operacional do controle de tráfego aéreo?,retrieval,ICA-63-45-art1:relevant,ICA-100-24-art1:0.660;ICA-121-3-art18:0.568;ICA-121-3-art81:0.568;ICA-100-37-art558:0.566;ICA-53-8-art24:0.559,,,N/A,0.0000,0.0000,0.0000,False
Q059,Quais são as regras sobre jornada de trabalho dos controladores de tráfego aéreo?,retrieval,ICA-100-45-art1:relevant,ICA-100-37-art7:0.578;ICA-100-31-art159:0.569;ICA-102-16-art402:0.567;ICA-100-37-art47:0.559;ICA-100-37-art857:0.553,,,N/A,0.0000,0.0000,0.0000,False
Q060,Qual o procedimento para representar auxílios à navegação nas cartas?,retrieval,ICA-96-1-art62:relevant,ICA-96-1-art261:0.620;ICA-102-16-art127:0.569;ICA-100-37-art735:0.540;ICA-64-7-art72:0.519;ICA-100-37-art3:0.513,,,N/A,0.0000,0.0000,0.0000,False
