query_id,query,category,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,ndcg_at_k,hit
Q019,Qual nível de proficiência em inglês é exigido para instrutor de língua inglesa aeronáutica?,retrieval,ICA-100-47-art6:relevant,ICA-37-924:0.754;ICA-100-47-art6:0.730;ICA-100-47-art17:0.512;ICA-66-23:0.491;ICA-100-47-art3:0.474,ICA-100-47-art6,,2,0.2000,1.0000,0.6309,True
Q020,Como é calculado o conceito operacional de instrução?,retrieval,ICA-100-47-art24:relevant,ICA-100-47-art24:0.528;ICA-100-47-art19:0.518;ICA-100-47-art23:0.511;ICA-100-47-art21:0.480;ICA-100-47-art18:0.473,ICA-100-47-art24,,1,0.2000,1.0000,1.0000,True
Q021,Quem tem competência para conceder a HT para instrutor de IFCTA?,retrieval,ICA-100-47-art9:relevant,ICA-100-47-art11:0.700;ICA-100-47-art16:0.696;ICA-100-47-art7:0.649;ICA-100-47-art12:0.644;ICA-100-47-art1:0.628,,,N/A,0.0000,0.0000,0.0000,False
Q022,Como funciona o comitê de segurança da informação no DECEA?,retrieval,ICA-7-58:relevant,ICA-07-37:0.723;ICA-800-5:0.584;ICA-7-58:0.567;ICA-800-3:0.547;ICA-96-1-art7:0.506,ICA-7-58,,3,0.2000,1.0000,0.5000,True
Q023,O que é prestação de tarefa por tempo certo no Comando da Aeronáutica?,retrieval,ICA-35-13:relevant,ICA-35-13:0.872;ICA-96-1-art546:0.648;ICA-96-1-art15:0.615;ICA-96-1-art590:0.600;ICA-81-4:0.581,ICA-35-13,,1,0.2000,1.0000,1.0000,True
Q024,Como funciona a gestão de cópias de segurança de sistemas no SISCEAB?,retrieval,ICA-07-29:relevant,ICA-800-9:0.690;ICA-205-48:0.650;ICA-07-31:0.648;ICA-63-12:0.646;ICA-12-37:0.604,,,N/A,0.0000,0.0000,0.0000,False
Q025,Quais são as regras sobre gestão de mudanças em sistemas do SISCEAB?,retrieval,ICA-07-24-art1:relevant,ICA-07-31:0.665;ICA-12-37:0.626;ICA-63-43:0.568;ICA-66-24:0.545;ICA-63-40:0.535,,,N/A,0.0000,0.0000,0.0000,False
Q026,Como funciona o uso especial do espaço aéreo?,retrieval,ICA-100-36:relevant,ICA-100-36:0.740;ICA-121-13:0.631;ICA-351-5:0.622;ICA-07-36:0.609;ICA-12-36:0.601,ICA-100-36,,1,0.2000,1.0000,1.0000,True
Q027,Quais são as regras para operações VFR e IFR?,retrieval,ICA-100-1-art1:relevant,ICA-100-47-art21:0.419;ICA-100-24-art1:0.419;ICA-96-1-art229:0.413;ICA-96-1-art459:0.401;ICA-100-23-art1:0.401,,,N/A,0.0000,0.0000,0.0000,False
Q028,Como funciona o gerenciamento de fluxo de tráfego aéreo?,retrieval,ICA-100-22-art1:relevant,ICA-07-28:0.629;ICA-12-36:0.559;ICA-81-4:0.559;ICA-7-26:0.558;ICA-121-13:0.550,,,N/A,0.0000,0.0000,0.0000,False
Q029,Quais são os procedimentos de navegação aérea?,retrieval,ICA-100-23-art1:relevant,ICA-121-13:0.571;ICA-7-26:0.546;ICA-81-4:0.544;ICA-37-269:0.526;ICA-07-28:0.518,,,N/A,0.0000,0.0000,0.0000,False
Q030,Como funciona o serviço meteorológico para navegação aérea?,retrieval,ICA-100-37-art1:relevant,ICA-121-13:0.585;ICA-12-36:0.581;ICA-351-5:0.541;ICA-7-26:0.535;ICA-07-36:0.523,,,N/A,0.0000,0.0000,0.0000,False
Q031,Quais são as regras para aeronaves não tripuladas (drones)?,retrieval,ICA-100-40-art1:relevant,ICA-37-269:0.477;ICA-07-21:0.471;ICA-96-1-art326:0.446;ICA-96-1-art542:0.431;ICA-121-13:0.428,,,N/A,0.0000,0.0000,0.0000,False
Q032,Como funciona o sistema de telecomunicações aeronáuticas?,retrieval,ICA-102-3:relevant,ICA-102-3:0.759;ICA-121-13:0.644;ICA-12-36:0.593;ICA-07-36:0.587;ICA-07-21:0.559,ICA-102-3,,1,0.2000,1.0000,1.0000,True
Q033,Quais são os requisitos para operador de telecomunicações?,retrieval,ICA-102-7-art1:relevant,ICA-102-3:0.579;ICA-102-7-art1:0.413;ICA-64-5:0.385;ICA-07-36:0.375;ICA-7-26:0.362,ICA-102-7-art1,,2,0.2000,1.0000,0.6309,True
Q034,Como funciona a classificação de dados meteorológicos?,retrieval,ICA-105-2-art1:relevant,ICA-12-36:0.442;ICA-7-26:0.410;ICA-96-1-art118:0.407;ICA-96-1-art15:0.400;ICA-96-1-art116:0.396,,,N/A,0.0000,0.0000,0.0000,False
Q035,Quais são as regras de gestão de risco no SISCEAB?,retrieval,ICA-16-6-art1:relevant,ICA-07-31:0.646;ICA-12-37:0.587;ICA-205-48:0.578;ICA-63-12:0.565;ICA-800-9:0.558,,,N/A,0.0000,0.0000,0.0000,False
Q036,Como funciona o sistema de informação NOTAM?,retrieval,ICA-53-1-art1:relevant,ICA-63-33:0.502;ICA-96-1-art100:0.502;ICA-800-3:0.473;ICA-07-37:0.459;ICA-07-31:0.448,,,N/A,0.0000,0.0000,0.0000,False
Q037,Quais são as regras sobre informação aeronáutica digital?,retrieval,ICA-53-7-art1:relevant,ICA-7-26:0.580;ICA-07-36:0.561;ICA-07-27:0.550;ICA-37-269:0.523;ICA-96-1-art87:0.486,,,N/A,0.0000,0.0000,0.0000,False
Q038,Como funciona a prevenção de incursão em pista?,retrieval,ICA-81-4:relevant,ICA-81-4:0.657;ICA-121-13:0.536;ICA-07-27:0.522;ICA-96-1-art245:0.512;ICA-96-1-art464:0.505,ICA-81-4,,1,0.2000,1.0000,1.0000,True
Q039,Quais são as regras sobre proteção contra incêndio?,retrieval,ICA-92-19:relevant,ICA-92-19:0.483;ICA-96-1-art217:0.353;ICA-96-1-art257:0.328;ICA-96-1-art192:0.323;ICA-96-1-art445:0.318,ICA-92-19,,1,0.2000,1.0000,1.0000,True
Q040,Como funcionam as inspeções de segurança operacional?,retrieval,ICA-121-13:relevant,ICA-7-26:0.608;ICA-7-58:0.593;ICA-07-27:0.550;ICA-07-28:0.501;ICA-121-13:0.493,ICA-121-13,,5,0.2000,1.0000,0.3869,True
Q041,O que são estações EPTA e como funcionam?,retrieval,ICA-63-10-art1:relevant,ICA-63-29:0.545;ICA-63-12:0.463;ICA-66-24:0.462;ICA-12-37:0.456;ICA-92-19:0.455,,,N/A,0.0000,0.0000,0.0000,False
Q042,Quais são os requisitos de saúde e certificado médico para controladores?,retrieval,ICA-63-15-art1:relevant,ICA-96-1-art487:0.439;ICA-96-1-art175:0.436;ICA-37-269:0.434;ICA-96-1-art257:0.430;ICA-7-58:0.429,,,N/A,0.0000,0.0000,0.0000,False
Q043,Como funciona a prevenção ao uso de substâncias psicoativas no controle de tráfego?,retrieval,ICA-63-50-art1:relevant,ICA-81-4:0.399;ICA-07-37:0.352;ICA-07-27:0.339;ICA-7-26:0.335;ICA-96-1-art261:0.319,,,N/A,0.0000,0.0000,0.0000,False
Q044,Como funciona o sistema de gestão da qualidade no SISCEAB?,retrieval,ICA-800-3:relevant;ICA-800-5:moderate,ICA-07-31:0.765;ICA-12-37:0.726;ICA-800-9:0.726;ICA-205-48:0.673;ICA-66-24:0.610,,,N/A,0.0000,0.0000,0.0000,False
Q045,Quais são as regras para visitas técnicas de segurança operacional?,retrieval,ICA-121-7-art1:relevant,ICA-37-269:0.654;ICA-7-26:0.617;ICA-07-27:0.599;ICA-7-58:0.597;ICA-96-1-art257:0.574,,,N/A,0.0000,0.0000,0.0000,False
Q046,Qual a escala recomendada para carta de aproximação por instrumentos?,retrieval,ICA-96-1-art174:relevant,ICA-96-1-art437:0.568;ICA-96-1-art377:0.554;ICA-96-1-art89:0.553;ICA-96-1-art277:0.550;ICA-96-1-art247:0.549,,,N/A,0.0000,0.0000,0.0000,False
Q047,Quais obstáculos devem ser representados na carta de aeródromo?,retrieval,ICA-96-1-art347:relevant,ICA-96-1-art304:0.686;ICA-96-1-art96:0.673;ICA-96-1-art249:0.656;ICA-37-269:0.649;ICA-96-1-art307:0.640,,,N/A,0.0000,0.0000,0.0000,False
Q048,Quais são os tipos de cartas aeronáuticas previstos na ICA 96-1?,retrieval,ICA-96-1-art10:relevant,ICA-96-1-art1:0.644;ICA-96-1-art96:0.546;ICA-96-1-art88:0.546;ICA-96-1-art406:0.519;ICA-100-1-art1:0.516,,,N/A,0.0000,0.0000,0.0000,False
Q049,Como deve ser a representação do relevo nas cartas?,retrieval,ICA-96-1-art30:relevant,ICA-96-1-art178:0.596;ICA-96-1-art296:0.560;ICA-96-1-art469:0.544;ICA-96-1-art255:0.537;ICA-96-1-art76:0.529,,,N/A,0.0000,0.0000,0.0000,False
Q050,Quais informações devem constar na carta de área terminal?,retrieval,ICA-96-1-art157:relevant,ICA-96-1-art264:0.621;ICA-96-1-art480:0.601;ICA-96-1-art122:0.587;ICA-96-1-art176:0.574;ICA-96-1-art491:0.550,,,N/A,0.0000,0.0000,0.0000,False
Q051,O que é RBAC 91?,coverage,,ICA-96-1-art94:0.379;ICA-96-1-art74:0.379;ICA-96-1-art92:0.374;ICA-96-1-art83:0.372;ICA-63-45-art3:0.362,,,N/A,0.0000,0.0000,0.0000,False
Q052,Quais são os requisitos de manutenção de aeronaves da ANAC?,coverage,,ICA-96-1-art590:0.556;ICA-96-1-art562:0.507;ICA-63-46:0.501;ICA-96-1-art88:0.493;ICA-7-35:0.485,,,N/A,0.0000,0.0000,0.0000,False
Q053,O que diz a lei 7565 sobre o Código Brasileiro de Aeronáutica?,coverage,,ICA-96-1-art70:0.565;ICA-96-1-art156:0.427;ICA-96-1-art7:0.425;ICA-96-1-art28:0.408;ICA-96-1-art71:0.406,,,N/A,0.0000,0.0000,0.0000,False
Q054,Quais são as regras da ANAC para licença de piloto comercial?,coverage,,ICA-96-1-art571:0.581;ICA-96-1-art584:0.571;ICA-96-1-art609:0.569;ICA-96-1-art578:0.568;ICA-96-1-art590:0.553,,,N/A,0.0000,0.0000,0.0000,False
Q055,Qual a resolução ANAC sobre transporte aéreo de passageiros?,coverage,,ICA-96-1-art609:0.556;ICA-07-28:0.535;ICA-96-1-art590:0.524;ICA-100-22-art1:0.524;ICA-63-46:0.518,,,N/A,0.0000,0.0000,0.0000,False
Q056,Como funciona o programa de pesquisa do DECEA?,retrieval,ICA-351-5:relevant,ICA-17-1:0.566;ICA-07-37:0.514;ICA-800-5:0.509;ICA-96-1-art7:0.503;ICA-800-3:0.494,,,N/A,0.0000,0.0000,0.0000,False
Q057,Quais são os requisitos para proficiência em inglês aeronáutico (EPLIS)?,retrieval,ICA-37-924:relevant;ICA-37-937:moderate,ICA-37-924:0.760;ICA-100-47-art6:0.695;ICA-100-47-art17:0.518;ICA-100-47-art3:0.515;ICA-66-23:0.510,ICA-37-924,,1,0.2000,0.5000,0.7602,True
Q058,Como funciona a doutrina operacional do controle de tráfego aéreo?,retrieval,ICA-63-45-art1:relevant,ICA-81-4:0.677;ICA-7-26:0.632;ICA-07-28:0.620;ICA-7-58:0.583;ICA-121-13:0.561,,,N/A,0.0000,0.0000,0.0000,False
Q059,Quais são as regras sobre jornada de trabalho dos controladores de tráfego aéreo?,retrieval,ICA-100-45-art1:relevant,ICA-37-269:0.635;ICA-07-28:0.570;ICA-81-4:0.540;ICA-96-1-art264:0.521;ICA-7-26:0.503,,,N/A,0.0000,0.0000,0.0000,False
Q060,Qual o procedimento para representar auxílios à navegação nas cartas?,retrieval,ICA-96-1-art62:relevant,ICA-96-1-art261:0.620;ICA-96-1-art591:0.499;ICA-96-1-art484:0.498;ICA-96-1-art153:0.494;ICA-96-1-art221:0.493,,,N/A,0.0000,0.0000,0.0000,False
