query_id,query,category,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,ndcg_at_k,hit
Q011,Quando a altitude mínima do setor não foi estabelecida o que representar na carta?,retrieval,ICA-96-1-art194:relevant;ICA-96-1-art219:moderate,decea_ICA-96-1-art194:0.500;decea_ICA-96-1-art264:0.500;decea_ICA-96-1-art219:0.333;decea_ICA-96-1-art218:0.333;decea_ICA-96-1-art220-1:0.250,decea_ICA-96-1-art194,decea_ICA-96-1-art219,1,0.4000,1.0000,0.9502,True
Q012,Quais são os requisitos gerais para ser instrutor de IFCTA?,retrieval,ICA-100-47-art5:relevant,decea_ICA-100-47-art4:0.500;decea_ICA-100-47-art19:0.500;decea_ICA-100-47-art25:0.333;decea_ICA-800-2-art2-17:0.333;urn_lex_br_federal_medida.provisoria_2006-06-29_301-chunk-22:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q013,Quais critérios específicos para seleção de ATCO instrutor orgânico?,retrieval,ICA-100-47-art10:relevant,decea_ICA-100-47-art1:0.750;decea_ICA-100-47-art4:0.500;decea_ICA-100-47-art8:0.433;decea_ICA-100-47-art3:0.333;decea_ICA-100-47-art18:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q014,Quando a habilitação técnica do instrutor de IFCTA perde a validade?,retrieval,ICA-100-47-art14:relevant;ICA-100-47-art13:moderate,decea_ICA-100-47-art3:0.500;decea_ICA-100-47-art14:0.500;decea_ICA-100-47-art13:0.333;decea_ICA-100-45-art3-11:0.333;decea_ICA-66-23-art149:0.250,decea_ICA-100-47-art14,decea_ICA-100-47-art13,2,0.4000,1.0000,0.6697,True
Q015,Qual a validade da habilitação técnica para instrutor de IFCTA?,retrieval,ICA-100-47-art12:relevant,decea_ICA-100-47-art19:0.500;decea_ICA-100-18-art3-14:0.500;decea_ICA-100-18-art3-29:0.333;decea_ICA-100-47-art13:0.333;decea_ICA-100-47-art10:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q016,Como funciona a avaliação instrucional do instrutor orgânico?,retrieval,ICA-100-47-art19:relevant;ICA-100-47-art20:moderate,decea_ICA-100-47-art18:0.833;decea_ICA-100-47-art19:0.750;decea_ICA-100-47-art3:0.333;decea_ICA-100-47-art25:0.286;decea_ICA-100-47-art8:0.250,decea_ICA-100-47-art19,,2,0.2000,0.5000,0.4796,True
Q017,Qual é a composição do Conselho de Instrução da IFCTA?,retrieval,ICA-100-47-art30:relevant;ICA-100-47-art32:moderate,decea_ICA-100-47-art28:0.583;decea_ICA-53-3-art3-18:0.500;decea_ICA-100-47-art25:0.500;decea_ICA-102-7-art3-29:0.333;decea_ICA-100-47-art35:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q018,Sobre o que o Conselho de Instrução pode deliberar?,retrieval,ICA-100-47-art29:relevant,decea_ICA-100-47-art29:0.667;decea_ICA-63-47-art103:0.500;decea_ICA-100-47-art35:0.500;decea_ICA-100-47-art41:0.321;decea_ICA-53-3-art3-20:0.250,decea_ICA-100-47-art29,,1,0.2000,1.0000,1.0000,True
Q019,Qual nível de proficiência em inglês é exigido para instrutor de língua inglesa aeronáutica?,retrieval,ICA-100-47-art6:relevant,decea_ICA-37-924-art3-1:0.583;decea_ICA-37-924-art3-5:0.500;decea_ICA-100-47-art6:0.500;decea_TCA-37-1-art8-21:0.333;decea_ICA-37-924-art3-3:0.292,decea_ICA-100-47-art6,,3,0.2000,1.0000,0.5000,True
Q020,Como é calculado o conceito operacional de instrução?,retrieval,ICA-100-47-art24:relevant,decea_ICA-100-47-art24:0.700;decea_ICA-63-45-art13:0.500;decea_ICA-100-47-art19:0.333;decea_ICA-100-44-art3-0:0.333;decea_ICA-100-42-art3-0:0.250,decea_ICA-100-47-art24,,1,0.2000,1.0000,1.0000,True
Q021,Quem tem competência para conceder a HT para instrutor de IFCTA?,retrieval,ICA-100-47-art9:relevant,decea_ICA-100-47-art16:0.667;decea_ICA-100-47-art11:0.533;decea_ICA-100-47-art29:0.500;decea_ICA-100-47-art12:0.500;decea_ICA-100-47-art9:0.458,decea_ICA-100-47-art9,,5,0.2000,1.0000,0.3869,True
Q022,Como funciona o comitê de segurança da informação no DECEA?,retrieval,ICA-7-58:relevant,decea_ICA-102-16-art13:0.500;decea_ICA-7-58-art2-0:0.500;decea_ICA-7-26-art3-2:0.333;decea_MCA-63-21-art19:0.333;decea_MCA-53-5-art123:0.250,decea_ICA-7-58-art2-0,,2,0.2000,1.0000,0.6309,True
Q023,O que é prestação de tarefa por tempo certo no Comando da Aeronáutica?,retrieval,ICA-35-13:relevant,decea_ICA-96-1-art546:0.500;decea_ICA-35-13-art3-0:0.500;decea_ICA-100-31-art158:0.333;decea_ICA-35-13-art73-5:0.333;decea_ICA-35-13-art3-2:0.250,decea_ICA-35-13-art3-0,,2,0.2000,1.0000,0.6309,True
Q024,Como funciona a gestão de cópias de segurança de sistemas no SISCEAB?,retrieval,ICA-07-29:relevant,decea_MCA-81-4-art70:0.500;decea_ICA-351-5-art3-12:0.500;decea_DCA-205-7-art19:0.333;decea_MCA-81-4-art2-1:0.333;decea_DCA-205-7-art16:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q025,Quais são as regras sobre gestão de mudanças em sistemas do SISCEAB?,retrieval,ICA-07-24-art1:relevant,decea_MCA-81-4-art1:0.500;decea_ICA-66-23-art5:0.500;decea_MCA-81-4-art996-0:0.333;decea_DCA-351-7-art15:0.333;decea_MCA-81-4-art783-23:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q026,Como funciona o uso especial do espaço aéreo?,retrieval,ICA-100-36:relevant,decea_DCA-100-2-art2-2:0.500;decea_DCA-351-7-art221:0.500;decea_DCA-100-2-art2-7:0.333;decea_PCA-351-7-art247:0.333;decea_DCA-351-7-art102:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q027,Quais são as regras para operações VFR e IFR?,retrieval,ICA-100-1-art1:relevant,decea_ICA-100-12-art120:0.500;decea_ICA-100-1-art3-0:0.500;decea_CIRCEA-100-54-art35:0.333;decea_ICA-63-19-art4-18:0.333;decea_ICA-100-39-art3-0:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q028,Como funciona o gerenciamento de fluxo de tráfego aéreo?,retrieval,ICA-100-22-art1:relevant,decea_PCA-351-6-art27:0.500;decea_DCA-351-7-art73:0.500;decea_PCA-351-7-art205:0.333;decea_ICA-12-35-art8:0.333;decea_DCA-351-7-art111:0.292,,,N/A,0.0000,0.0000,0.0000,False
Q029,Quais são os procedimentos de navegação aérea?,retrieval,ICA-100-23-art1:relevant,decea_PCA-351-7-art247:0.500;decea_CIRCEA-121-10-art3-0:0.500;decea_CIRCEA-100-54-art5-5:0.333;decea_ICA-100-24-art1:0.333;decea_ICA-100-24-art18:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q030,Como funciona o serviço meteorológico para navegação aérea?,retrieval,ICA-100-37-art1:relevant,decea_ICA-105-2-art8:0.500;decea_ICA-105-2-art6:0.500;decea_ICA-105-17-art5-0:0.333;decea_PCA-351-7-art247:0.333;decea_ICA-105-16-art4:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q031,Quais são as regras para aeronaves não tripuladas (drones)?,retrieval,ICA-100-40-art1:relevant,decea_PCA-351-7-art86:0.500;decea_ICA-100-40-art3-3:0.500;decea_MCA-63-17-art2-20:0.333;decea_ICA-100-37-art284:0.333;decea_ICA-100-40-art3-0:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q032,Como funciona o sistema de telecomunicações aeronáuticas?,retrieval,ICA-102-3:relevant,decea_PCA-351-7-art10:0.500;decea_ICA-102-16-art6:0.500;decea_ICA-19-78-art3-4:0.333;decea_DCA-351-7-art180:0.333;decea_ICA-100-37-art782:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q033,Quais são os requisitos para operador de telecomunicações?,retrieval,ICA-102-7-art1:relevant,decea_ICA-63-31-art3-4:0.500;decea_PCA-351-6-art21:0.500;decea_PCA-11-435-art21:0.333;decea_ICA-102-7-art3-0:0.333;decea_DCA-351-7-art19:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q034,Como funciona a classificação de dados meteorológicos?,retrieval,ICA-105-2-art1:relevant,decea_ICA-351-5-art3-14:0.500;decea_ICA-105-17-art100:0.500;decea_ICA-105-17-art245:0.333;decea_PCA-351-7-art233:0.333;decea_ICA-105-15-art131:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q035,Quais são as regras de gestão de risco no SISCEAB?,retrieval,ICA-16-6-art1:relevant,decea_MCA-81-4-art1:0.500;decea_ICA-205-48-art3-12:0.500;decea_MCA-81-4-art717:0.333;decea_ICA-16-6-art3-1:0.333;decea_ICA-121-3-art1:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q036,Como funciona o sistema de informação NOTAM?,retrieval,ICA-53-1-art1:relevant,decea_CIRCEA-63-2-art3-0:0.500;decea_MCA-53-5-art101:0.500;decea_DCA-351-5-art2-3:0.333;decea_MCA-53-5-art105:0.333;decea_MCA-53-5-art26:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q037,Quais são as regras sobre informação aeronáutica digital?,retrieval,ICA-53-7-art1:relevant,decea_PCA-351-7-art86:0.500;decea_ICA-102-7-art3-3:0.500;decea_ICA-100-31-art159:0.417;decea_ICA-53-7-art47:0.333;decea_ICA-100-31-art151:0.333,,,N/A,0.0000,0.0000,0.0000,False
Q038,Como funciona a prevenção de incursão em pista?,retrieval,ICA-81-4:relevant,decea_ICA-81-4-art3-6:0.500;decea_PCA-351-7-art134:0.500;decea_MCA-100-15-art49:0.333;decea_ICA-81-4-art3-0:0.333;decea_ICA-100-37-art277:0.277,decea_ICA-81-4-art3-6,,1,0.2000,1.0000,1.0000,True
Q039,Quais são as regras sobre proteção contra incêndio?,retrieval,ICA-92-19:relevant,urn_lex_br_sao.paulo_estadual_decreto_1965-10-19_45410-a:0.500;decea_MCA-81-4-art541:0.500;decea_MCA-81-4-art218:0.333;urn_lex_br_federal_decreto_2009-02-18_6780-chunk-5:0.333;decea_MCA-81-4-art567:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q040,Como funcionam as inspeções de segurança operacional?,retrieval,ICA-121-13:relevant,decea_MCA-81-4-art870:0.500;decea_MCA-81-4-art448:0.500;decea_MCA-81-4-art304:0.333;decea_MCA-81-4-art752:0.333;decea_MCA-81-4-art846:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q041,O que são estações EPTA e como funcionam?,retrieval,ICA-63-10-art1:relevant,urn_lex_br_agencia.nacional.energia.eletrica_resolucao.autorizativa_2021-10-28_10728:0.500;decea_ICA-66-23-art13-0:0.500;decea_ICA-63-46-art2-2:0.333;decea_ICA-63-46-art77:0.333;urn_lex_br_agencia.nacional.energia.eletrica_resolucao.autorizativa_2008-08-20_1482:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q042,Quais são os requisitos de saúde e certificado médico para controladores?,retrieval,ICA-63-15-art1:relevant,decea_ICA-63-15-art3-6:0.500;decea_CIRCEA-100-118-art1:0.500;decea_MCA-81-4-art923:0.333;decea_ICA-63-31-art3-5:0.333;decea_ICA-63-15-art3-0:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q043,Como funciona a prevenção ao uso de substâncias psicoativas no controle de tráfego?,retrieval,ICA-63-50-art1:relevant,decea_ICA-63-50-art2-0:0.500;decea_MCA-81-4-art349:0.500;decea_ICA-100-18-art3-4:0.333;decea_MCA-81-4-art4:0.333;decea_ICA-63-50-art2-2:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q044,Como funciona o sistema de gestão da qualidade no SISCEAB?,retrieval,ICA-800-3:relevant;ICA-800-5:moderate,decea_MCA-81-4-art790:0.500;decea_MCA-67-6-art71-13:0.500;decea_DCA-205-7-art19:0.333;decea_CIRCEA-100-77-art1:0.333;decea_DCA-800-1-art3-1:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q045,Quais são as regras para visitas técnicas de segurança operacional?,retrieval,ICA-121-7-art1:relevant,decea_MCA-81-4-art996-0:0.500;decea_ICA-100-24-art27:0.500;decea_ICA-100-24-art1:0.333;decea_MCA-81-4-art783-2:0.333;decea_MCA-63-15-art2-19:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q046,Qual a escala recomendada para carta de aproximação por instrumentos?,retrieval,ICA-96-1-art174:relevant,decea_ICA-100-37-art1012:0.500;decea_CIRCEA-100-54-art5-1:0.500;decea_CIRCEA-100-54-art62:0.333;decea_ICA-57-1-art3-3:0.333;decea_ICA-100-37-art1022:0.333,,,N/A,0.0000,0.0000,0.0000,False
Q047,Quais obstáculos devem ser representados na carta de aeródromo?,retrieval,ICA-96-1-art347:relevant,decea_ICA-96-1-art304:0.500;decea_MCA-96-1-art3-4:0.500;decea_MCA-96-1-art3-9:0.333;decea_ICA-96-1-art96:0.333;decea_PCA-351-7-art264:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q048,Quais são os tipos de cartas aeronáuticas previstos na ICA 96-1?,retrieval,ICA-96-1-art10:relevant,decea_ICA-53-8-art129:0.611;decea_CIRCEA-100-54-art127:0.500;decea_ICA-121-7-art40-7:0.333;decea_CIRCEA-100-54-art6:0.333;decea_MCA-96-1-art3-9:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q049,Como deve ser a representação do relevo nas cartas?,retrieval,ICA-96-1-art30:relevant,decea_MCA-105-17-art2-19:0.500;decea_ICA-96-1-art178:0.500;decea_ICA-96-1-art296:0.333;decea_MCA-96-1-art3-8:0.333;decea_MCA-96-1-art3-4:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q050,Quais informações devem constar na carta de área terminal?,retrieval,ICA-96-1-art157:relevant,decea_MCA-96-4-art2-3:0.500;decea_ICA-96-1-art264:0.500;decea_ICA-96-1-art480:0.333;decea_MCA-64-3-art168:0.333;decea_ICA-102-16-art407:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q051,O que é RBAC 91?,coverage,,decea_CIRCEA-100-54-art90:0.500;decea_MCA-64-3-art51:0.500;decea_ICA-100-3-art3-6:0.333;decea_ICA-63-46-art92:0.333;decea_ICA-105-15-art116:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q052,Quais são os requisitos de manutenção de aeronaves da ANAC?,coverage,,decea_ICA-800-9-art3-2:0.500;decea_ICA-63-46-art38:0.500;decea_ICA-100-1-art3-0:0.333;decea_ICA-63-46-art37:0.333;urn_lex_br_camara.deputados_resolucao_1960-07-20_38-chunk-0:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q053,O que diz a lei 7565 sobre o Código Brasileiro de Aeronáutica?,coverage,,urn_lex_br_federal_decreto_1963-03-07_51807-chunk-1:0.500;decea_MCA-37-155-art3-3:0.500;decea_MCA-81-4-art71:0.333;decea_DCA-351-7-art3:0.333;decea_TCA-53-1-art1:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q054,Quais são as regras da ANAC para licença de piloto comercial?,coverage,,decea_PCA-351-7-art327:0.500;decea_MCA-63-17-art2-20:0.500;decea_MCA-56-5-art268-1:0.333;decea_ICA-100-12-art49:0.333;decea_ICA-100-37-art293:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q055,Qual a resolução ANAC sobre transporte aéreo de passageiros?,coverage,,decea_ICA-100-41-art3-0:0.500;decea_ICA-63-46-art38:0.500;decea_PCA-351-7-art327:0.333;urn_lex_br_rondonia_estadual_lei_2011-07-11_2515:0.333;decea_ICA-205-48-art3-6:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q056,Como funciona o programa de pesquisa do DECEA?,retrieval,ICA-351-5:relevant,decea_ICA-63-32-art2-7:0.500;decea_ICA-102-16-art13:0.500;decea_ICA-351-5-art3-0:0.333;decea_MCA-800-7-art37:0.333;decea_ICA-164-1-art2-4:0.250,decea_ICA-351-5-art3-0,,3,0.2000,1.0000,0.5000,True
Q057,Quais são os requisitos para proficiência em inglês aeronáutico (EPLIS)?,retrieval,ICA-37-924:relevant;ICA-37-937:moderate,decea_ICA-100-47-art6:0.500;decea_ICA-37-924-art3-6:0.500;decea_ICA-37-924-art3-1:0.341;decea_ICA-37-924-art3-29:0.333;decea_ICA-37-924-art3-16:0.333,decea_ICA-37-924-art3-6,,2,0.2000,0.5000,0.4796,True
Q058,Como funciona a doutrina operacional do controle de tráfego aéreo?,retrieval,ICA-63-45-art1:relevant,decea_ICA-100-24-art1:0.500;decea_ICA-63-45-art3:0.500;decea_PCA-351-6-art27:0.333;decea_MCA-63-15-art2-3:0.333;decea_PCA-100-3-art70-0:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q059,Quais são as regras sobre jornada de trabalho dos controladores de tráfego aéreo?,retrieval,ICA-100-45-art1:relevant,decea_ICA-100-37-art7:0.577;decea_MCA-63-17-art2-20:0.500;decea_ICA-100-37-art298:0.333;decea_ICA-100-31-art159:0.333;decea_ICA-100-12-art151-4:0.250,,,N/A,0.0000,0.0000,0.0000,False
Q060,Qual o procedimento para representar auxílios à navegação nas cartas?,retrieval,ICA-96-1-art62:relevant,decea_MCA-63-4-art3-10:0.500;decea_ICA-96-1-art261:0.500;decea_MCA-63-4-art3-2:0.333;decea_ICA-102-16-art127:0.333;decea_MCA-64-3-art174:0.250,,,N/A,0.0000,0.0000,0.0000,False
